Nome   ;sample name  ;Substance;tested date;published date ;location;
3144;Yellow Page;MBZP/mCPP/Caffeine/TFMPP;Apr 29, 2014;Apr 29, 2014;San Francisco, CA;
3145;Fioricet MIA 110;Acetaminophen/Butalbital/Caffeine;Apr 29, 2014;Apr 29, 2014;Online, CA;
3149;Red Monster;MDMA;May 05, 2014;May 05, 2014;West Hollywood, CA;
3151;Blue Superman;MDMA;May 05, 2014;May 05, 2014;Amsterdam, Netherlands;
3153;Square;mCPP/MBZP/Caffeine/TFMPP;May 05, 2014;May 05, 2014;Sacramento, CA;
3154;PS4 Play Station;MBZP/mCPP/TFMPP/Caffeine;May 05, 2014;May 05, 2014;Sacramento, CA;
3155;PS4 Play Station;MBZP/mCPP/TFMPP/Caffeine;May 05, 2014;May 05, 2014;Sacramento, CA;
3158;ALP Oxandralone;Oxandrolone;May 13, 2014;May 13, 2014;Los Angeles, CA;
3161;Blue/Purple Lady;MDMA/Procaine;May 13, 2014;May 13, 2014;Los Angeles, CA;
3165;White Tablet;Melatonin/Stearic Acid/Palmitic Acid;May 13, 2014;May 13, 2014;Grapevine;
3166;Cross Scored Tablet;Diazepam;May 13, 2014;May 13, 2014;New Jersey;
3172;Green Apple;MDMA/Caffeine;May 26, 2014;May 26, 2014;Las Vegas, NV;
3174;Roxicone 4812;Oxycodone;May 26, 2014;May 26, 2014;New York, NY;
3179;Blue Snowflake;Methamphetamine;Jun 10, 2014;Jun 10, 2014;Portland, OR;
3183;3183  Yellow Wafer;Methaqualone/Diphenhydramine;Jun 11, 2014;Jun 11, 2014;New York, NY;
3184;Orange LV;TFMPP/BZP/Caffeine;Jun 11, 2014;Jun 11, 2014;New York, NY;
3185;Yellow Gun;Lorcaserin;Jun 11, 2014;Jun 11, 2014;Unknown, Unknown;
3187;Valsartan V23/M;Stearic Acid/Palmitic Acid;Jun 16, 2014;Jun 16, 2014;Pittsburg, PA;
3190;Mercedes;Caffeine/Methamphetamine;Jun 16, 2014;Jun 16, 2014;Houston, TX;
3191;Altoid Double Stack;bk-MDDMA;Jun 16, 2014;Jun 16, 2014;Boca Raton, FL;
3192;S White Dreams;Methyltestosterone;Jun 16, 2014;Jun 16, 2014;Clearwater, FL;
3193;BIosira Anavar;Stanozolol;Jun 16, 2014;Jun 16, 2014;Helsinki, Finland;
3194;White Lightning Bolt;MDA/Caffeine;Jun 27, 2014;Jun 27, 2014;New York, NY;
3197;White Scored Caplet;Codeine;Jun 27, 2014;Jun 27, 2014;Online, TX;
3198;Orange Zolpidem;Zolpidem;Jun 27, 2014;Jun 27, 2014;Online, TX;
3200;Blue Canuck;MDMA;Jun 27, 2014;Jun 27, 2014;San Francisco, CA;
3202;Yellow Facebook;TFMPP;Jul 10, 2014;Jul 10, 2014;Perth, Western Australia, Australia;
3204;White Tablet;Tramadol;Jul 10, 2014;Jul 10, 2014;Houston, TX;
3206;Blue Canuck;MDMA;Jul 10, 2014;Jul 10, 2014;Los Angeles, CA;
3210;Purple Dolphin;Procaine/MDMA/Caffeine;Jun 25, 2014;Jul 10, 2014;Los Angeles, CA  ;
3223;Reclining Lady;TFMPP/BZP/Caffeine;Jul 18, 2014;Jul 18, 2014;Palos Verdes, CA;
3226;Blue Dolphin;Methamphetamine/Caffeine;Jul 24, 2014;Jul 24, 2014;Houston, TX;
3231;Red Bugatti;MDMA;Aug 01, 2014;Aug 01, 2014;Detroit, MI;
3234;Peach Caplet;Stearic Acid/Palmitic Acid/Triethyl citrate;Aug 01, 2014;Aug 01, 2014;Milford, DE;
3242;Blue Androids;MDMA;Aug 04, 2014;Aug 04, 2014;San Francisco, CA;
3246;Paul Frank;TFMPP/BZP/4-FA;Aug 17, 2014;Aug 17, 2014;Los Angeles, CA;
3247;Blue Barclay;MDMA;Aug 17, 2014;Aug 17, 2014;Online;
3248;Blue Barclay;MDMA;Aug 17, 2014;Aug 17, 2014;Online;
3249;Green Clover;BZP/TFMPP/MDMA;Aug 17, 2014  ;Aug 17, 2014;Fort McMurray, AB, Canada;
3250;Blue Dolphin;TFMPP/BZP/MDMA;Aug 17, 2014  ;Aug 17, 2014;Fort McMurray, AB, Canada;
